senseval2.d000.s000.t000 art.n.02
senseval2.d000.s000.t001 change_ringing.n.01
senseval2.d000.s000.t003 english.n.01
senseval2.d000.s000.t006 peculiarity.n.01
senseval2.d000.s000.t008 remainder.n.01
senseval2.d000.s000.t009 earth.n.01
senseval2.d000.s001.t000 tailor.n.01
senseval2.d000.s002.t000 england.n.01
senseval2.d000.s003.t000 scene.n.06
senseval2.d000.s003.t003 england.n.01
senseval2.d000.s003.t006 rock.n.02
senseval2.d000.s003.t007 church.n.02
senseval2.d000.s003.t009 field.n.01
senseval2.d000.s003.t010 sound.n.01
senseval2.d000.s003.t011 bell.n.01
senseval2.d000.s003.t013 tower.n.01
senseval2.d000.s003.t015 faithful.n.01
senseval2.d000.s003.t016 vespers.n.01
senseval2.d000.s004.t000 parishioner.n.01
senseval2.d000.s004.t003 church.n.02
senseval2.d000.s004.t004 doorway.n.01
senseval2.d000.s004.t005 member.n.01
senseval2.d000.s005.t000 tower.n.01
senseval2.d000.s005.t001 man.n.01
senseval2.d000.s005.t002 woman.n.01
senseval2.d000.s005.t005 rope.n.01
senseval2.d000.s005.t008 bell.n.01
senseval2.d000.s006.t003 note.n.04
senseval2.d000.s006.t004 churchgoer.n.01
senseval2.d000.s006.t006 peal.n.01
senseval2.d000.s006.t007 bell.n.01
senseval2.d000.s006.t009 fall.n.01
senseval2.d000.s006.t010 evening.n.01
senseval2.d000.s007.t002 church.n.02
senseval2.d000.s007.t003 united_kingdom.n.01
senseval2.d000.s007.t004 set.n.01
senseval2.d000.s007.t005 bell.n.01
senseval2.d000.s007.t008 band.n.02
senseval2.d000.s007.t009 toller.n.01
senseval2.d000.s007.t011 sunday.n.01
senseval2.d000.s007.t012 morning.n.01
senseval2.d000.s007.t013 evening.n.01
senseval2.d000.s007.t014 service.n.03
senseval2.d000.s008.t003 toller.n.01
senseval2.d000.s009.t001 today.n.01
senseval2.d000.s010.t001 group.n.01
senseval2.d000.s010.t002 toller.n.01
senseval2.d000.s010.t004 octogenarian.n.01
senseval2.d000.s010.t005 child.n.01
senseval2.d000.s010.t006 training.n.01
senseval2.d000.s010.t008 sunday.n.01
senseval2.d000.s010.t009 church.n.02
senseval2.d000.s010.t010 church.n.02
senseval2.d000.s010.t011 attempt.n.01
senseval2.d000.s010.t013 bell.n.01
senseval2.d000.s010.t016 campanile.n.01
senseval2.d000.s011.t001 service.n.01
senseval2.d000.s011.t002 tower.n.01
senseval2.d000.s011.t006 worker.n.01
senseval2.d000.s012.t002 child.n.01
senseval2.d000.s012.t003 disco.n.02
senseval2.d000.s012.t004 dance.n.02
senseval2.d000.s013.t001 old_age.n.01
senseval2.d000.s013.t002 flightiness.n.01
senseval2.d000.s013.t003 youth.n.03
senseval2.d000.s013.t005 social_station.n.01
senseval2.d000.s013.t006 group.n.01
senseval2.d000.s013.t008 bell.n.01
senseval2.d000.s014.t000 history.n.01
senseval2.d000.s014.t001 side.n.02
senseval2.d000.s015.t001 survey.n.01
senseval2.d000.s015.t003 year.n.01
senseval2.d000.s015.t006 england.n.01
senseval2.d000.s015.t007 church.n.02
senseval2.d000.s015.t008 bell.n.01
senseval2.d000.s015.t012 sunday.n.01
senseval2.d000.s016.t003 art.n.01
senseval2.d000.s017.t002 version.n.02
senseval2.d000.s017.t004 tune.n.01
senseval2.d000.s017.t005 bell.n.01
senseval2.d000.s017.t006 carillon.n.01
senseval2.d000.s017.t008 europe.n.01
senseval2.d000.s017.t010 english.n.02
senseval2.d000.s017.t014 foreigner.n.01
senseval2.d000.s018.t000 change_ringing.n.01
senseval2.d000.s018.t002 english.n.02
senseval2.d000.s018.t004 year.n.01
senseval2.d000.s018.t008 dexterity.n.01
senseval2.d000.s018.t009 bell.n.01
senseval2.d000.s018.t012 short_ton.n.01
senseval2.d000.s018.t016 concentration.n.05
senseval2.d000.s019.t001 bell.n.01
senseval2.d000.s019.t003 round.n.04
senseval2.d000.s019.t005 bell.n.01
senseval2.d000.s019.t009 scale.n.01
senseval2.d000.s019.t012 church.n.02
senseval2.d000.s019.t014 bell.n.01
senseval2.d000.s020.t001 signal.n.01
senseval2.d000.s020.t002 toller.n.01
senseval2.d000.s020.t005 ordering.n.01
senseval2.d000.s020.t006 bell.n.01
senseval2.d000.s020.t010 rhythm.n.02
senseval2.d000.s020.t011 hit.n.02
senseval2.d000.s021.t000 variation.n.02
senseval2.d000.s021.t001 change.n.01
senseval2.d000.s021.t005 rule.n.04
senseval2.d000.s022.t000 ringer.n.03
senseval2.d000.s022.t002 form.n.03
senseval2.d000.s022.t003 change.n.04
senseval2.d000.s022.t005 method.n.01
senseval2.d000.s022.t006 name.n.01
senseval2.d000.s023.t000 series.n.01
senseval2.d000.s023.t002 change.n.01
senseval2.d000.s023.t005 hour.n.01
